Methods,Header File,IEEE Std 1003.1-202x (Issue 8)  (Draft),IEEE Std 1003.1-2017 (Issue 7 TC2),IEEE Std 1003.1-2008 (Issue 7),IEEE Std 1003.1-2003 (Issue 6),PSE51,PSE52,PSE53,PSE54,C99,C11,C17,FACE 2.1 Security,FACE 2.1 Safety Base,FACE 2.1 Safety Extended,FACE 2.1 General Purpose,FACE 3.0 Security,FACE 3.0 Safety Base,FACE 3.0 Safety Extended,FACE 3.0 General Purpose,FACE 3.1 Security,FACE 3.1 Safety Base,FACE 3.1 Safety Extended,FACE 3.1 General Purpose,FACE 3.2 Security,FACE 3.2 Safety Base,FACE 3.2 Safety Extended,FACE 3.2 General Purpose,SCA 2.2.2 AEP,SCA 4.1 Ultra Lightweight AEP,SCA 4.1 Lightweight AEP,SCA 4.1 [Full] AEP,RTEMS w/o Networking,RTEMS w/ Networking,Deos RTEMS Safety Base,Deos RTEMS Safety Ext,Deos RTEMS Gen Purp,RTEMS Impl Note,POSIX Functionality Categories
hdestroy(),search.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
hsearch(),search.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
htonl(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
htons(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
hypot(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
hypotf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
hypotl(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
iconv(),iconv.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_I18N
iconv_close(),iconv.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_I18N
iconv_open(),iconv.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_I18N
if_freenameindex(),net/if.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
if_indextoname(),net/if.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
if_nameindex(),net/if.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
if_nametoindex(),net/if.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-NO,,POSIX_NETWORKING
ignore_handler_s(),stdlib.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
ilogb(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
ilogbf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
ilogbl(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-NO,,POSIX_C_LANG_MATH
imaxabs(),inttypes.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
imaxdiv(),inttypes.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
index(),strings.h,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
inet_addr(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-YES,,POSIX_NETWORKING
inet_ntoa(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,NET,CTS-YES,,,CTS-YES,,POSIX_NETWORKING
inet_ntop(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
inet_pton(),arpa/inet.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,NET,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_NETWORKING
initstate(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_C_LANG_SUPPORT
insque(),search.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_C_LANG_SUPPORT
INT16_C(),stdint.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,INCL,INCL,INCL,INCL,,,,,,,,,,,
INT32_C(),stdint.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,INCL,INCL,INCL,INCL,,,,,,,,,,,
INT8_C(),stdint.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,INCL,INCL,INCL,INCL,,,,,,,,,,,
INTMAX_C(),stdint.h,INCL,INCL,INCL,INCL,,,,,INCL,INCL,,,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,HAND-YES,HAND-YES,,,,,
INTN_C(),stdint.h,INCL,INCL,INCL,INCL,,,,,INCL,INCL,,,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,HAND-YES,HAND-YES,,,,,
ioctl(),stropts.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,_XOPEN_STREAMS
isalnum(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isalnum_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isalpha(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isalpha_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isascii(),ctype.h,,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
isastream(),stropts.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,_XOPEN_STREAMS
isatty(),unistd.h,INCL,INCL,INCL,INCL,,,,INCL,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_DEVICE_SPECIFIC
isblank(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,RT-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
isblank_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iscntrl(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
iscntrl_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isdigit(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isdigit_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isfinite(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isgraph(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isgraph_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isgreater(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isgreaterequal(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isinf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isless(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
islessequal(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
islessgreater(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
islower(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
islower_l(),ctype.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isnan(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isnormal(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isprint(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,RT-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isprint_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
ispunct(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
ispunct_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isspace(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isspace_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isunordered(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,HAND-YES,HAND-YES,,,HAND-YES,,POSIX_C_LANG_MATH
isupper(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isupper_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswalnum(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswalnum_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswalpha(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswalpha_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswblank(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswblank_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswcntrl(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswcntrl_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswctype(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswctype_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswdigit(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswdigit_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswgraph(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswgraph_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswlower(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswlower_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswprint(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswprint_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswpunct(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswpunct_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswspace(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswspace_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswupper(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswupper_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
iswxdigit(),wctype.h,INCL,INCL,INCL,INCL,,,,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,,,,,,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_WIDE_CHAR
iswxdigit_l(),wctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
isxdigit(),ctype.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
isxdigit_l(),ctype.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,
j0(),math.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_MATH
j1(),math.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_MATH
jn(),math.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_MATH
jrand48(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
kill(),signal.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,,CTS-YES,CTS-YES,,POSIX_SIGNALS
kill_dependency(),stdatomic.h,,,,,,,,,,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,
killpg(),signal.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_SIGNALS
l64a(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
labs(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
lchown(),unistd.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,POSIX_SYMBOLIC_LINKS
lcong48(),stdlib.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-YES,RT-YES,,,,,XSI_C_LANG_SUPPORT
ldexp(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,INCL,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_MATH
ldexpf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
ldexpl(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-NO,,POSIX_C_LANG_MATH
ldiv(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_C_LANG_SUPPORT
lfind(),search.h,INCL,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,XSI_C_LANG_SUPPORT
lgamma(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
lgammaf(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_MATH
lgammal(),math.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-NO,,POSIX_C_LANG_MATH
link(),unistd.h,INCL,INCL,INCL,INCL,,INCL,INCL,INCL,,,,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,,INCL,INCL,INCL,INCL,,,INCL,CTS-YES,CTS-YES,CTS-YES,CTS-YES,CTS-YES,,POSIX_FILE_SYSTEM
linkat(),unistd.h,INCL,INCL,INCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RT-NO,,,,,
lio_listio(),aio.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,ENOSYS,POSIX_ASYNCHRONOUS_IO
listen(),sys/socket.h,INCL,INCL,INCL,INCL,,,INCL,INCL,,,,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,INCL,INCL,,,,INCL,NET,CTS-YES,,CTS-YES,CTS-YES,,POSIX_NETWORKING
llabs(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
lldiv(),stdlib.h,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,INCL,,,,INCL,,,,INCL,,,,INCL,,,,INCL,,,,,CTS-YES,CTS-YES,,,CTS-YES,,POSIX_C_LANG_SUPPORT
